"These are the fields that Telarus, our main distributor, uses to report by vendor.  We will need to create templates to match our fields to theirs.  We will display different field ""label names"" on these fields for our own understanding.",,,,,,,,
The fields in 7-10 are common fields that all templates will use.  ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Template Map Name,Origin,CompanyName,templateId,commissionType,fieldId,Telarus CommonFields,New Commissable Field Label,
Telarus-Optimum Business,Telarus,Optimum Business,2500,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-PhoenixNAP,Telarus,PhoenixNAP,2583,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Pilot Fiber,Telarus,Pilot Fiber,2503,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Quest Technology Management,Telarus,Quest Technology Management,2070,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-RapidScale,Telarus,RapidScale,2446,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-RingCentral,Telarus,RingCentral,2115,Residual,420,Reduced Commission,Actual Commission Rate %,
Telarus-RingCentral ANZ,Telarus,RingCentral ANZ,1644,Residual,420,Reduced Commission,Actual Commission Rate %,
Telarus-RingCentral CAD,Telarus,RingCentral CAD,1559,Residual,420,Reduced Commission,Actual Commission Rate %,
Telarus-Ringcentral EURO,Telarus,Ringcentral EURO,2564,Residual,420,Reduced Commission,Actual Commission Rate %,
Telarus-RingCentral UK,Telarus,RingCentral UK,1638,Residual,420,Reduced Commission,Actual Commission Rate %,
Telarus-Rise Broadband,Telarus,Rise Broadband,2508,Residual,354,Data Commission Percentage,Actual Commission Rate %,
Telarus-Rise Broadband,Telarus,Rise Broadband,2508,Residual,360,NRC Commission Percentage,Actual Commission Rate %,
Telarus-Rise Broadband,Telarus,Rise Broadband,2508,Residual,358,VOIP Commission Percentage,Actual Commission Rate %,
Telarus-RSI,Telarus,RSI,2438,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Spectrotel,Telarus,Spectrotel,1863,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Spectrum,Telarus,Spectrum,2381,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Spectrum Business CAD,Telarus,Spectrum Business CAD,2383,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Splice Communications,Telarus,Splice Communications,1737,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Synoptek,Telarus,Synoptek,1951,Residual,134,Commission Percent,Actual Commission Rate %,
"Telarus-Syringa Networks, LLC",Telarus,"Syringa Networks, LLC",2518,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-TCN,Telarus,TCN,1880,Residual,277,Rate,Actual Commission Rate %,
Telarus-Telesystem,Telarus,Telesystem,2019,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Tellennium Inc,Telarus,Tellennium Inc,2437,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-TelSynergy,Telarus,TelSynergy,2340,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Thryv,Telarus,Thryv,2251,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Tierpoint Data Centers,Telarus,Tierpoint Data Centers,1708,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-ujet.cx,Telarus,ujet.cx,2557,Residual,576,Commission Rate,Actual Commission Rate %,
